datetime_posted,title,n_words,scare_quote_count,has_colon,person_to_ent_ratio,person_count,is_fox
2023-10-13 18:06:08.000,"Blinken meets Qatar PM, says Israeli actions are not 'retaliation,' but 'defending the lives of its people'",17.0,1.0,0.0,0.0,0.0,1
2024-10-18 19:56:05.000,"Bruce Willis, Demi Moore avoided doing one thing while co-parenting, daughter says",12.0,0.0,0.0,1.0,2.0,1
2024-08-20 01:00:35.000,"'The View' co-host, CNN commentator Ana Navarro to host night 2 of Democratic National Convention",15.0,1.0,0.0,0.0,0.0,1
2023-06-09 17:55:28.000,"Emily Blunt says her ‘toes curl’ when people tell her their kids want to act: 'I want to say, don’t do it!'",22.0,1.0,1.0,1.0,1.0,1
2024-06-06 08:30:24.000,Jack Carr recalls Gen. Eisenhower's D-Day memo about 'great and noble undertaking',12.0,1.0,0.0,0.6666666666666666,2.0,1
2024-10-16 21:35:17.000,Striking Boeing workers boo after Democratic Sen. Maria Cantwell criticizes Trump,11.0,0.0,0.0,0.25,1.0,1
2024-09-26 19:29:03.000,"White House grilled on Harris' gun ownership, mandatory gun buybacks",10.0,0.0,0.0,0.5,1.0,1
2024-08-06 18:52:34.000,Harris' running mate faces renewed scrutiny after his 'weird' socialism comparison resurfaces,12.0,1.0,0.0,1.0,1.0,1
2024-09-08 23:00:46.000,"Tom Cotton turns tables on CNN's Dana Bash on guns, brings up Harris' past remarks on school shootings",18.0,0.0,0.0,0.75,3.0,1
2024-07-24 11:09:26.000,"Kamala rides tsunami of positive press, but skeptics see a risky choice",12.0,0.0,0.0,0.0,0.0,1
2022-08-08 17:16:08.000,"David McCullough, American historian and Presidential Medal of Freedom recipient, dies at 89",13.0,0.0,0.0,0.25,1.0,1
2022-08-24 20:37:33.000,Simon Cowell reveals how his son changed his judging style: ‘I have much more empathy’,15.0,0.0,1.0,1.0,1.0,1
2023-10-21 15:28:21.000,"Israeli-American reservist killed by Hezbollah missile in Israel, IDF says",10.0,0.0,0.0,0.0,0.0,1
2022-10-31 06:00:09.000,Rare Disease Day: Walking Dead Syndrome and other rare conditions baffle doctors and researchers,14.0,0.0,1.0,0.0,0.0,1
2022-03-14 11:33:36.000,Web designer who refuses to create sites for same-sex weddings says Colorado law violates free speech rights,17.0,0.0,0.0,0.0,0.0,1
2024-10-15 19:21:32.000,Pennsylvania family sickened after eating toxic mushrooms expected to recover,10.0,0.0,0.0,0.0,0.0,1
2024-02-17 11:25:39.000,"Ozempic, the happy drug? Study suggests weight-loss medications could reduce depression, anxiety",12.0,0.0,0.0,0.0,0.0,1
2024-09-05 22:00:16.000,CNN calls out Harris for using Trump's border wall in campaign ad after condemning it for years,17.0,0.0,0.0,0.25,1.0,1
2023-10-01 14:52:31.000,"Taylor Swift steals NYC spotlight during dinner with Blake Lively, Sophie Turner and Brittany Mahomes",15.0,0.0,0.0,0.6,3.0,1
2024-10-18 08:30:48.000,Family selling dream home to fund life-saving treatment for 5-year-old daughter,11.0,0.0,0.0,0.0,0.0,1
2023-10-08 11:14:04.000,"Israel declares war after Hamas surprise attack, launches retaliatory airstrikes in Gaza",12.0,0.0,0.0,0.0,0.0,1
2024-06-24 16:19:08.000,"Taylor Swift, Travis Kelce get support from family after surprise 'Eras Tour' stage appearance",14.0,1.0,0.0,1.0,3.0,1
2021-10-12 09:00:25.000,"The Doors' Jim Morrison had ‘a fascination with death’ before passing away at 27, bandmate Robby Krieger says",18.0,0.0,0.0,0.5,2.0,1
2024-10-02 03:14:59.000,Walz repeats Georgia abortion death falsehood decried by doctors as 'fearmongering',11.0,1.0,0.0,0.0,0.0,1
2024-09-25 18:29:39.000,"Harris campaign won't give details on type of gun she owns, last time she went to range",17.0,0.0,0.0,1.0,1.0,1
2024-08-16 08:00:43.000,"Utah mom kept missing daughter, 5, hidden in cult 'compound' for months with help from adult sons: prosecutors",18.0,1.0,1.0,0.0,0.0,1
