url,topic,title,subtitle,author,datetime_posted,label
https://www.nbcnews.com/news/world/helicopter-carrying-irans-president-suffers-hard-landing-state-tv-says-rcna152961,news,"As helicopter crash site is discovered, Iranian President Ebrahim Raisi is confirmed dead","Iranian President Ebrahim Raisi has been confirmed dead in a helicopter crash, state media reported Monday.",Mithil Aggarwal | The Associated Press,2024-05-20T05:31:35.267Z,NBC News
https://www.nbcnews.com/pop-culture/celebrity/kristen-cavallari-husband-jay-cutler-divorce-after-10-years-together-n1192966,pop-culture,Kristen Cavallari and Jay Cutler to divorce after 10 years together,"Reality television star Kristin Cavallari and husband Jay Cutler are seeking a divorce after 10 years together, the couple announced Sunday.",Doha Madani,2020-04-26T18:04:00.000Z,NBC News
https://www.nbcnews.com/news/asian-america/why-atlanta-spa-shooter-s-asian-acquaintances-can-t-tell-n1275348,news,Why Atlanta spa shooter's Asian 'acquaintances' can't tell us much about his racial biases,Why Atlanta spa shooter's Asian 'acquaintances' can't tell us much about his racial biases,Kimmy Yam,2021-07-29T00:08:00.000Z,NBC News
https://www.nbcnews.com/select/shopping/best-tv-streaming-service-rcna146886,select,Best TV Streaming Services in 2026: How to Choose the Right One for You,What is the best TV streaming service? Experts break down top options and share tips on how to save on monthly costs.,Henry St. Leger | Harry Rabinowitz,2026-01-21T15:40:40.161Z,NBC News
https://www.nbcnews.com/politics/congress/mike-johnson-wont-commit-bringing-house-back-election-hurricane-relief-rcna174174,politics,Mike Johnson won't commit to bringing House back before the election for more hurricane relief,House Speaker Mike Johnson on Sunday did not commit to calling Congress back into session before the election after President Joe Biden pressed congressional leaders about potential funding shortfalls in the aftermath of Hurricane Helene.,Summer Concepcion | Sahil Kapur | Scott Wong | Sarah Dean | Syedah Asghar,2024-10-06T19:13:41.301Z,NBC News
https://www.nbcnews.com/tech/tech-news/esim-card-gaza-palestine-israel-war-hamas-rcna134498,tech,Palestinians use eSIM cards to stay in touch the outside world,"As the Gaza Strip enters its second week of a near-total internet blackout, some people are using eSIM cards as a last grasp at contact with the outside world.
",Kevin Collier | Rima Abdelkader,2024-01-19T21:51:24.399Z,NBC News
https://www.nbcnews.com/news/us-news/new-fbi-stats-show-historic-declines-violent-crime-rate-murder-showing-rcna156573,news,"New FBI stats show 'historic' declines in violent crime rate, with murder showing sharpest drop","The latest FBI statistics point to a ""historic"" drop in crime in the first quarter of this year, Attorney General Merrick Garland says.",Tom Costello | Corky Siemaszko,2024-06-12T14:49:12.602Z,NBC News
https://www.nbcnews.com/news/world/hassan-nasrallah-hezbollah-leader-israel-says-killed-beirut-strike-rcna173053,news,"Who was Hassan Nasrallah, the Hezbollah leader killed in Beirut strike","Israel announced Saturday that its forces have killed Hassan Nasrallah, the powerful leader of the Lebanese militant and political group Hezbollah, in what would mark a major escalation amid mounting hostilities at its northern border with Lebanon.",Matt Bradley | Associated Press | Mirna Alsharif | Chantal Da Silva,2024-09-28T11:39:23.041Z,NBC News
https://www.nbcnews.com/news/world/us-china-gina-raimondo-economy-rcna102507,news,U.S. and China take cautious steps to repair ties,U.S. Commerce Secretary Gina Raimondo finished her trip to China having revived talks on commercial issues between the world’s two largest economies.,"Alexander Smith | Janis Mackey Frayer | Cheng Cheng | Minxiao Chang | Eunice Yoon, CNBC",2023-08-31T10:12:46.537Z,NBC News
https://www.nbcnews.com/select/shopping/best-car-accessories-amazon-ncna1303524,select,15 Bestselling Car Accessories on Amazon in 2026,"From phone mounts to chargers, we rounded up expert-recommended and bestselling car accessories from Amazon.",Barbara Booth | Bethany Heitman,2025-07-03T13:38:00.000Z,NBC News
https://www.nbcnews.com/politics/2024-election/key-nebraska-republican-opposes-changing-state-awards-electoral-votes-rcna172276,politics,"Key Nebraska Republican opposes changing how the state awards electoral votes, blocking Trump push","A Nebraska Republican state lawmaker said Monday that he remains opposed to switching how the state allocates its electoral votes, effectively blocking a bid by President Donald Trump and his allies to change the system in search of an extra electoral vote this fall.",Jonathan Allen | Bridget Bowman | Adam Edelman | Katherine Doyle | Allan Smith | Ben Kamisar | Raquel Coronell Uribe,2024-09-23T22:52:57.870Z,NBC News
https://www.nbcnews.com/politics/donald-trump/trump-courts-rappers-surrogates-campaign-win-voters-color-rcna157972,politics,Trump courts rappers as surrogates for his campaign to win more voters of color,"As Trump courts young voters of color, his campaign is turning rap stars into surrogates, pursuing nationally renowned names and smaller acts prominent locally.",Nnamdi Egwuonwu,2024-06-20T20:00:41.000Z,NBC News
https://www.nbcnews.com/politics/supreme-court/live-blog/trump-immunity-supreme-court-ruling-live-updates-rcna159539,politics,"Trump has some immunity in D.C. election interference case, Supreme Court rules: Highlights",Updates and the latest news coverage as Supreme Court justices decide on presidential immunity for Donald Trump.,,,NBC News
https://www.nbcnews.com/tech/tech-news/elon-musk-super-pac-gathers-voter-data-boost-trump-rcna164859,tech,Elon Musk super PAC gathers voter data to boost Trump,Elon Musk-backed America PAC is spending millions and gathering detailed data from potential voters in a bid to help Trump. ,"Brian Schwartz, CNBC",2024-08-02T14:46:16.268Z,NBC News
https://www.nbcnews.com/select/shopping/prebiotic-soda-health-benefits-rcna172429,select,Is Prebiotic Soda Good For Health? Experts Weigh In | NBC Select,"Does prebiotic soda offer health benefits? Here's what you should know about Poppi, Olipop and more.",Zoe Malin,2025-02-11T17:44:53.525Z,NBC News
https://www.nbcnews.com/politics/justice-department/jan-6-rioter-manipulated-trump-fox-news-rcna127404,politics,"Jan. 6 rioter asks for early release, says he was ‘manipulated’ by Trump and Fox News","Imprisoned Jan. 6 rioter Mitchell Todd Gardner is seeking early release from prison, saying he was manipulated by Donald Trump and Fox News.",Ryan J. Reilly,2023-11-30T20:38:54.091Z,NBC News
https://www.nbcnews.com/politics/politics-news/secretary-state-antony-blinken-declines-identify-red-line-aid-israel-rcna151826,politics,Secretary of State Antony Blinken declines to identify 'red line' for aid to Israel,"Secretary of State Antony Blinken on Sunday declined to identify the Biden administration’s “red line” with Israel, despite President Joe Biden’s comments earlier this week that the U.S. will withhold certain military assistance if Israel launches an offensive on Rafah.",Alexandra Marquez,2024-05-12T13:58:24.177Z,NBC News
https://www.nbcnews.com/politics/donald-trump/trump-focuses-harris-race-black-jobs-combative-panel-black-journalists-rcna164271,politics,Trump falsely accuses Harris of deciding to 'turn Black' during a combative panel with Black journalists,CHICAGO — Donald Trump made a combative appearance Wednesday at a conference of Black journalists during a heated question-and-answer session that at times focused squarely on the race of Vice President Kamala Harris.,Matt Dixon | Yamiche Alcindor | Michelle Garcia | Peter Alexander | Jake Traylor | Nnamdi Egwuonwu | Henry J. Gomez,2024-08-01T02:25:53.701Z,NBC News
https://www.nbcnews.com/politics/2024-election/poll-half-voters-plan-cast-ballots-early-stark-partisan-divide-rcna175253,politics,Poll: Half of voters plan to cast their ballots early — with a stark partisan divide,"Americans are more eager to vote early than they were before the pandemic, but a deep partisan divide on early voting remains, the latest national NBC News poll shows.",Ben Kamisar,2024-10-15T09:00:41.000Z,NBC News
https://www.nbcnews.com/news/world/stampede-religious-event-india-kills-100-people-almost-women-rcna160102,news,"Stampede at religious event in India kills more than 100 people, almost all of them women","At least 116 people, all but one of them women and children, were killed in a stampede at a religious event in northern India, authorities said.",Mithil Aggarwal,2024-07-03T09:12:40.266Z,NBC News
https://www.nbcnews.com/select/shopping/latino-owned-businesses-shop-ncna1281477,select,101+ Latino-Owned Businesses to Support in 2026 and Beyond,"Shop Latino-owned businesses selling clothing, hair care, beauty and health products. Celebrate the Latino community by supporting Latino-owned businesses.",Mili Godio | Zoe Malin,2025-09-15T17:20:57.194Z,NBC News
https://www.nbcnews.com/nbc-out/out-news/hate-crime-murder-black-trans-woman-south-carolina-dime-doe-rcna176121,nbc-out,S.C. man sentenced to life in prison for murdering Black trans woman after historic verdict,"A South Carolina man was sentenced to life in prison Thursday for the murder of Dime Doe, a Black transgender woman. ",Jo Yurcaba,2024-10-18T19:11:10.680Z,NBC News
